step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
232,PAYMENT,4958.42,C967607278,34610.36,29651.94,M821579885,0.0,0.0,0,0
237,PAYMENT,1097.5,C454549587,6057.75,4960.25,M978726109,0.0,0.0,0,0
240,CASH_OUT,4849.67,C165452690,6919.71,2070.04,C989368954,7793.87,12643.54,0,0
255,CASH_OUT,30418.9,C608309128,77809.7,47390.8,C702247585,69047.61,99466.51,0,0
276,PAYMENT,321.02,C529979713,2011.55,1690.53,M140048684,0.0,0.0,0,0
280,TRANSFER,18328.26,C554124989,48736.92,30408.66,C594025283,18771.35,37099.61,0,0
282,PAYMENT,3904.8,C164035859,24349.22,20444.42,M410812797,0.0,0.0,0,0
299,CASH_OUT,326205.22,C907772004,326205.22,0.0,C562267186,9977.87,336183.09,1,1
300,PAYMENT,4290.79,C170161976,43332.99,39042.2,M149086585,0.0,0.0,0,0
305,CASH_IN,13458.6,C928393291,15659.29,29117.89,C162959284,26302.02,12843.42,0,0
310,PAYMENT,3274.67,C583736219,10904.54,7629.87,M207959268,0.0,0.0,0,0
319,CASH_OUT,392559.63,C928956527,392559.63,0.0,C574234670,0.0,0.0,1,1
333,CASH_IN,8305.51,C507943839,38958.46,47263.97,C426515425,32386.3,24080.79,0,0
343,CASH_OUT,6892.61,C564520346,11313.05,4420.44,C846668526,94727.89,101620.5,0,0
349,CASH_OUT,19895.48,C145478504,50675.97,30780.49,C244796859,2962.57,22858.05,0,0
369,TRANSFER,7075.05,C422119408,16222.65,9147.6,C889262019,27849.25,34924.3,0,0
376,CASH_OUT,22124.19,C369953851,31794.32,9670.13,C756569565,42515.47,64639.66,0,0
378,CASH_OUT,29139.58,C787346882,79778.79,50639.21,C945805127,84716.73,113856.31,0,0
381,CASH_OUT,2684.19,C237798236,6042.67,3358.48,C200273738,72598.84,75283.03,0,0
394,CASH_OUT,39574.73,C790781796,59186.89,19612.16,C240674381,64462.06,104036.79,0,0
399,CASH_OUT,19253.93,C417604347,47739.93,28486.0,C456954682,79049.81,98303.74,0,0
399,PAYMENT,1395.33,C608482316,10936.88,9541.55,M968457290,0.0,0.0,0,0
406,PAYMENT,4021.36,C235538456,16277.75,12256.39,M986485022,0.0,0.0,0,0
406,PAYMENT,990.64,C880411013,6862.78,5872.14,M901955461,0.0,0.0,0,0
407,PAYMENT,2827.19,C333291547,29013.62,26186.43,M241674152,0.0,0.0,0,0
432,PAYMENT,1262.24,C959629660,4310.13,3047.89,M750407244,0.0,0.0,0,0
437,CASH_IN,12613.72,C289125618,9319.35,21933.07,C400368694,45778.11,33164.39,0,0
441,PAYMENT,1113.9,C726713347,9348.03,8234.13,M193133974,0.0,0.0,0,0
450,CASH_IN,4237.07,C990505735,36880.65,41117.72,C584044963,15916.7,11679.63,0,0
452,CASH_OUT,49785.13,C880871219,140335.04,90549.91,C673510887,88214.78,137999.91,0,0
487,PAYMENT,4628.3,C601463916,42988.17,38359.87,M410594268,0.0,0.0,0,0
503,CASH_IN,7552.3,C396641124,40824.73,48377.03,C174958005,19422.56,11870.26,0,0
508,CASH_OUT,5798.91,C392431670,14788.53,8989.62,C260545470,82328.28,88127.19,0,0
518,CASH_OUT,24637.12,C527499187,59628.85,34991.73,C631388604,44385.17,69022.29,0,0
525,CASH_OUT,17760.32,C389854268,21066.02,3305.7,C418587604,59804.38,77564.7,0,0
545,CASH_OUT,26517.94,C209747451,41089.06,14571.12,C764130526,97747.93,124265.87,0,0
548,CASH_OUT,24786.28,C133447745,40791.53,16005.25,C938842599,28359.31,53145.59,0,0
557,PAYMENT,4478.03,C595155950,26653.47,22175.44,M822125631,0.0,0.0,0,0
560,CASH_OUT,47866.12,C996703082,98024.49,50158.37,C496115351,83906.85,131772.97,0,0
561,CASH_OUT,39436.35,C130266145,109960.74,70524.39,C896760809,76225.4,115661.75,0,0
564,CASH_OUT,12940.61,C741580895,34204.41,21263.8,C950826208,96650.83,109591.44,0,0
572,CASH_OUT,22344.35,C230833665,39823.63,17479.28,C502982778,77234.22,99578.57,0,0
573,CASH_IN,10446.04,C110899674,34265.8,44711.84,C374796224,17528.53,7082.49,0,0
578,CASH_OUT,881.34,C575209597,1246.49,365.15,C240674381,14419.16,15300.5,0,0
586,CASH_OUT,554994.29,C967249653,554994.29,0.0,C567382794,0.0,0.0,1,1
603,CASH_OUT,49885.37,C813219781,98051.8,48166.43,C186237917,29543.22,79428.59,0,0
608,PAYMENT,51.39,C271092615,1068.71,1017.32,M726150048,0.0,0.0,0,0
613,CASH_OUT,25379.97,C587096273,72099.02,46719.05,C237217505,69170.89,94550.86,0,0
641,CASH_OUT,22947.3,C784523874,29165.54,6218.24,C909037759,676.74,23624.04,0,0
654,CASH_IN,13169.15,C802201721,17750.44,30919.59,C534222401,47250.9,34081.75,0,0
658,TRANSFER,58648.5,C393421844,120612.31,61963.81,C362897676,6997.93,65646.43,0,0
662,PAYMENT,1932.5,C630757561,6366.6,4434.1,M333969748,0.0,0.0,0,0
670,TRANSFER,36033.61,C921155204,73715.07,37681.46,C524806516,40836.43,76870.04,0,0
675,PAYMENT,1888.07,C236105947,9967.96,8079.89,M965195567,0.0,0.0,0,0
675,CASH_IN,12158.19,C153992714,9432.33,21590.52,C166436383,31210.12,19051.93,0,0
687,CASH_IN,6302.41,C370578414,19431.96,25734.37,C230311939,16198.3,9895.89,0,0
693,CASH_OUT,31656.86,C291735734,71406.03,39749.17,C219032752,37517.23,69174.09,0,0
696,TRANSFER,73509.62,C976803188,292381.48,218871.86,C786650291,43352.38,116862.0,0,0
704,CASH_OUT,44839.99,C280162221,57396.37,12556.38,C588561518,12315.72,57155.71,0,0
706,TRANSFER,4390.34,C746820987,10147.24,5756.9,C508031980,41933.73,46324.07,0,0
728,CASH_OUT,30845.94,C940983577,79264.77,48418.83,C906528433,81352.99,112198.93,0,0
730,TRANSFER,13079.78,C959629660,22515.75,9435.97,C919382051,41732.53,54812.31,0,0
731,PAYMENT,1903.1,C628008852,16113.38,14210.28,M288751681,0.0,0.0,0,0
